PLAYER	TEAM	FP	SOLO	AST	SACK	FUMR	FORCE	INT	PD
Brodrick Bunkley	NO	1.8	1.4	0.7	0.03	0.01	0.1	0	0.02
Letroy Guion	MIN	1.8	1	0.6	0.06	0.05	0.04	0	0
Henry Melton	CHI	1.8	1	0.5	0.22	0.02	0.02	0	0.01
Earl Mitchell	HOU	1.8	0.9	0.9	0.2	0.1	0.01	0	0.08
Sean Lissemore	DAL	1.8	1.4	0.9	0.12	0.02	0.01	0	0
Corey Liuget	SD	1.8	0.9	0.5	0.08	0.12	0.17	0	0.15
Cameron Jordan	NO	1.8	1.1	0.7	0.04	0.24	0.02	0	0.27
Dontari Poe	KC	1.8	1.4	1	0.04	0.03	0.04	0.01	0.11
Kendall Reyes	SD	1.8	0.9	0.4	0.24	0.02	0.02	0.01	0.04
Olivier Vernon	MIA	1.8	1	0.4	0.19	0.05	0.04	0	0.02
Robert Geathers	CIN	1.7	1	1.4	0.18	0.02	0.03	0	0.05
Corey Williams	DET	1.7	1.2	0.6	0.11	0.01	0.01	0.01	0.12
William Hayes	STL	1.7	1.2	0.4	0.16	0.01	0.02	0	0
Tim Jamison	HOU	1.7	0.8	0.5	0.19	0.04	0.08	0	0.11
Cameron Heyward	PIT	1.7	0.9	0.2	0.05	0.02	0.12	0	0.06
Isaac Sopoaga	SF	1.6	1.3	0.8	0.02	0.06	0.01	0	0.02
Kedric Golston	WAS	1.6	1	1.3	0.13	0.01	0.1	0	0.03
Vaughn Martin	SD	1.6	1.3	1.3	0.08	0.01	0.01	0	0
C.J. Mosley	JAC	1.5	0.7	0.7	0.15	0.02	0.12	0	0
Vance Walker	ATL	1.5	0.9	0.6	0.07	0.08	0.07	0	0.02
Everson Griffen	MIN	1.5	0.5	0.4	0.24	0.05	0.01	0	0.1
C.J. Wilson	GB	1.5	1.2	0.5	0.07	0.02	0.02	0	0
Stephen Paea	CHI	1.5	0.8	0.9	0.2	0.01	0.01	0	0
Aubrayo Franklin	SD	1.5	1.1	0.5	0.06	0.03	0.04	0	0.02
Casey Hampton	PIT	1.4	1.3	1.4	0.02	0.02	0.02	0	0.01
Fili Moala	IND	1.4	1	0.8	0.06	0.03	0.01	0	0.02
SenDerrick Marks	TEN	1.4	0.9	0.8	0.02	0.02	0.13	0.02	0.09
Dan Williams	ARI	1.4	1.3	0.6	0.02	0.01	0.01	0	0.13
Nick Fairley	DET	1.4	0.9	0.5	0.16	0.01	0.02	0	0
Rocky Bernard	NYG	1.4	1	0.8	0.07	0.02	0.04	0	0.14
Keyunta Dawson	TEN	1.4	1	0.5	0.02	0.1	0.02	0	0.06
Ron Edwards	CAR	1.3	1	1.1	0.08	0.01	0.01	0	0.03
Marcus Spears	DAL	1.3	1	0.5	0.07	0.02	0.02	0	0.07
Shaun Cody	HOU	1.3	0.9	0.9	0.08	0.06	0.01	0	0.08
Chris Canty	NYG	1.3	1.2	0.9	0	0.01	0.01	0	0.09
Sammie Hill	DET	1.3	0.9	0.7	0.09	0.04	0.05	0	0
Tyrone Crawford	DAL	1.3	0.8	0.3	0.13	0.02	0.02	0	0.02
Dave Tollefson	OAK	1.2	0.5	0.5	0.15	0.05	0.04	0	0.08
Darell Scott	STL	1.2	1	0.4	0.04	0.01	0.01	0	0
Lawrence Sidbury	ATL	1.2	0.6	0.3	0.18	0.01	0	0	0
Terrence Cody	BAL	1.2	1.1	1.1	0.01	0.01	0.02	0	0.03
Antonio Johnson	IND	1.1	0.8	0.8	0.01	0.03	0.08	0	0.06
Matt Toeaina	CHI	1.1	0.9	0.6	0.03	0.02	0.01	0	0.03
Sedrick Ellis	NO	1.1	0.8	1.1	0.07	0.01	0.03	0	0.21
Wallace Gilberry	TB	1.1	0.6	0.3	0.08	0.02	0.13	0	0.07
Kyle Moore	BUF	1.1	0.8	0.7	0.04	0.08	0.01	0	0
Fred Evans	MIN	1	0.8	0.7	0.02	0.02	0.02	0	0.01
Al Woods	PIT	1	0.9	0.7	0.02	0.02	0.01	0	0
Ricardo Mathews	IND	1	0.8	0.7	0.04	0.02	0.01	0	0.1
Emmanuel Stephens	CLE	1	0.8	1.1	0.04	0.02	0.01	0	0
Allen Bailey	KC	1	0.4	0.2	0.04	0.14	0.02	0	0.1
Kenrick Ellis	NYJ	1	0.9	0.5	0.03	0.01	0.01	0	0
Cheta Ozougwu	CHI	1	0.8	0.3	0.04	0.02	0.01	0	0.02
Vinny Curry	PHI	1	0.9	0.2	0	0.01	0.01	0	0.02
Jared Crick	HOU	1	0.5	0.2	0.15	0	0.02	0	0.02
Kheeston Randall	MIA	1	0.5	0.2	0.1	0.04	0.03	0	0.01
Vonnie Holliday	ARI	0.9	0.8	0.3	0.03	0.01	0.01	0	0.1
Peria Jerry	ATL	0.9	0.5	0.3	0.03	0.01	0.09	0	0.08
David Carter	ARI	0.9	0.5	0.4	0.05	0.02	0.12	0	0.09
Frank Alexander	CAR	0.9	0.6	0.3	0.05	0.01	0.01	0	0.01
Daniel Teo-Nesheim	TB	0.8	0.5	0.2	0.05	0.01	0.01	0	0
Arthur Jones	BAL	0.8	0.7	0.4	0.02	0.01	0.03	0	0.01
John Hughes	CLE	0.8	0.3	0.2	0.1	0.02	0.02	0	0.02
Alameda Taamu	PIT	0.8	0.6	0.4	0.03	0	0.01	0	0.04
Jack Crawford	OAK	0.8	0.5	0.2	0.06	0.03	0.02	0	0.01
Pat Sims	CIN	0.7	0.6	0.5	0	0.01	0.02	0	0.01
Fletcher Cox	PHI	0.7	0.4	0.1	0.04	0.02	0.01	0	0.01
Derek Wolfe	DEN	0.7	0.4	0.2	0.06	0.01	0.01	0	0.01
Devon Still	CIN	0.7	0.4	0.2	0.06	0.02	0.01	0	0.02
Brandon Thompson	CIN	0.7	0.4	0.2	0.08	0.02	0.01	0	0.01
Billy Winn	CLE	0.7	0.3	0.2	0.1	0.03	0.02	0	0.01
Phillip Merling	GB	0.7	0.5	0.2	0.04	0.02	0.01	0	0.2
Mike Martin	TEN	0.7	0.5	0.2	0.05	0.02	0.01	0	0.01
Nick Eason	ARI	0.6	0.4	0.3	0.04	0.01	0.01	0	0.01
Jerry Hughes	IND	0.6	0.4	0.4	0.03	0.01	0.01	0	0
Alex Carrington	BUF	0.6	0.4	0.3	0	0.01	0.02	0	0.1
Cam Thomas	SD	0.6	0.6	0.4	0	0	0	0	0.07
Sione Fua	CAR	0.6	0.5	0.6	0.02	0.02	0.02	0	0.01
Christian Ballard	MIN	0.6	0.5	0.5	0.03	0.02	0.01	0	0.01
Jaye Howard	SEA	0.6	0.4	0.2	0.04	0.02	0.01	0	0
Markus Kuhn	NYG	0.6	0.4	0.2	0.04	0.01	0.02	0	0.02
Marvin Austin	NYG	0.6	0.4	0.2	0.05	0.01	0.01	0	0.01
Corey Wootton	CHI	0.5	0.3	0.2	0.04	0.01	0.01	0	0.01
George Selvie	JAC	0.5	0.4	0.3	0	0.03	0.01	0	0
Akiem Hicks	NO	0.5	0.3	0.2	0.04	0.02	0.01	0	0.02
Malik Jackson	DEN	0.5	0.3	0.2	0.04	0.01	0.01	0	0.01
Christo Bilukidi	OAK	0.5	0.3	0.2	0.05	0.01	0.01	0	0.01
Greg Scruggs	SEA	0.5	0.3	0.1	0.04	0	0.01	0	0.01
Travian Robertson	ATL	0.5	0.4	0.2	0	0.01	0.01	0	0.01
Myron Pryor	NE	0.4	0.4	1	0	0.01	0.02	0	0
Mike Neal	GB	0.4	0.3	0.2	0	0.01	0.07	0	0.01
Jake Bequette	NE	0.4	0.4	0.3	0	0.01	0.01	0	0.01
Mike Daniels	GB	0.4	0.3	0.2	0	0	0.01	0	0.02
Josh Chapman	IND	0.4	0.3	0.3	0.02	0.01	0.01	0	0
DeAngelo Tyson	BAL	0.4	0.3	0.2	0	0.01	0.01	0	0.01
Andre Carter	NE	0	0	0	0	0	0	0	0
Shaun Rogers	NYG	0	0	0	0	0	0	0	0
Terrell Suggs	BAL	0	0	0	0	0	0	0	0
Ty Warren	DEN	0	0	0	0	0	0	0	0
Tyler Brayton	IND	0	0	0	0	0	0	0	0
Jacques Cesaire	SD	0	0	0	0	0	0	0	0
Shaun Smith	TEN	0	0	0	0	0	0	0	0
Darrion Scott	WAS	0	0	0	0	0	0	0	0
Anthony Hargrove	GB	0	0	0	0	0	0	0	0
Dave Ball	TEN	0	0	0	0	0	0	0	0
Amon Gordon	KC	0	0	0	0	0	0	0	0
Luis Castillo	SD	0	0	0	0	0	0	0	0
Chauncey Davis	CHI	0	0	0	0	0	0	0	0
Jonathan Fanene	NE	0	0	0	0	0	0	0	0
John McCargo	CHI	0	0	0	0	0	0	0	0
Brandon McKinney	IND	0	0	0	0	0	0	0	0
Remi Ayodele	NO	0	0	0	0	0	0	0	0
Jeff Charleston	MIN	0	0	0	0	0	0	0	0
Derrick Harvey	CIN	0	0	0	0	0	0	0	0
Trevor Laws	STL	0	0	0	0	0	0	0	0
Andre Fluellen	DET	0	0	0	0	0	0	0	0
DeMario Pressley	CHI	0	0	0	0	0	0	0	0
Jason Shirley	IND	0	0	0	0	0	0	0	0
Nick Hayden	CIN	0	0	0	0	0	0	0	0
Brian Schaefering	CLE	0	0	0	0	0	0	0	0
Everette Brown	DET	0	0	0	0	0	0	0	0
Jarius Wynn	GB	0	0	0	0	0	0	0	0
Antonio Dixon	PHI	0	0	0	0	0	0	0	0
Brian Price	CHI	0	0	0	0	0	0	0	0
Torell Troup	BUF	0	0	0	0	0	0	0	0
Corey Peters	ATL	0	0	0	0	0	0	0	0
Junior Galette	NO	0	0	0	0	0	0	0	0
Jarvis Jenkins	WAS	0	0	0	0	0	0	0	0
DaQuan Bowers	TB	0	0	0	0	0	0	0	0
Terrell McClain	CAR	0	0	0	0	0	0	0	0
Zach Clayton	TEN	0	0	0	0	0	0	0	0
Cliff Matthews	ATL	0	0	0	0	0	0	0	0
Chris Neild	WAS	0	0	0	0	0	0	0	0
John Chick	JAC	0	0	0	0	0	0	0	0
Thomas Johnson	NO	0	0	0	0	0	0	0	0
